symbol,name,exchange,assetType,ipoDate,delistingDate,status
AA-W,Alcoa Corporation When Issued,NYSE,Stock,10/18/2016,11/8/2016,Delisted
AAAP,Advanced Accelerator Applications SA,NASDAQ,Stock,11/11/2015,2/20/2018,Delisted
AABA,Altaba Inc,NASDAQ,Stock,4/12/1996,11/6/2019,Delisted
AAC,American Addiction Centers,NYSE,Stock,10/2/2014,4/19/2021,Delisted
AACC,Asset Acceptance Capital Corp,NASDAQ,Stock,2/5/2004,10/17/2013,Delisted
AACQU,Origin Materials Inc - Units (1 Ord Share Class A & 1/3 War),NASDAQ,Stock,7/14/2020,6/24/2021,Delisted
AAI,AIRTRAN HOLDINGS INC,NYSE,Stock,9/17/2001,11/30/2011,Delisted
AAIT,ISHARES MSCI ALL COUNTRY ASIA INFORMATION TECHNOLOGY INDEX FUND,NASDAQ,ETF,2/9/2012,8/31/2015,Delisted
AAM-P-A,Apollo Global Management Inc,NYSE,Stock,3/9/2017,12/31/2021,Delisted
AAM-P-B,Apollo Global Management Inc,NYSE,Stock,3/12/2018,12/31/2021,Delisted
AAMRQ,Amr Corp,NYSE,Stock,1/2/2001,12/17/2013,Delisted
AAN-W,Aarons Holdings Company Inc When Issued,NYSE,Stock,11/25/2020,11/30/2020,Delisted
AAPC,Atlantic Alliance Partnership Corp,NASDAQ,Stock,4/29/2015,10/4/2017,Delisted
AATI,Advanced Analogic Technologies Incorp.,NASDAQ,Stock,8/4/2005,1/27/2012,Delisted
AAV,Advantage Oil & Gas Ltd,NYSE,Stock,3/31/2004,12/14/2018,Delisted
ABAX,Abaxis Inc,NASDAQ,Stock,1/23/1992,8/1/2018,Delisted
ABBC,ABINGTON BANCORP INC.PA,NASDAQ,Stock,12/17/2004,10/10/2011,Delisted
ABCD,Cambium Learning Group Inc,NASDAQ,Stock,12/9/2009,12/18/2018,Delisted
ABCO,The Advisory Board Company,NASDAQ,Stock,11/13/2001,11/17/2017,Delisted
ABCW,Anchor BanCorp Wisconsin Inc,NASDAQ,Stock,1/4/2016,5/9/2016,Delisted
ABDC,Alcentra Capital Corp,NASDAQ,Stock,5/9/2014,1/31/2020,Delisted
ABE,Aberdeen Emerging Markets Smaller Company Opportunities Fund Inc,NYSE MKT,ETF,1/2/2001,4/27/2018,Delisted
ABEOW,ABEOW,NASDAQ,Stock,6/22/2015,12/20/2019,Delisted
ABFS,Arkansas Best Corp,NASDAQ,Stock,5/13/1992,5/13/2014,Delisted
ABGB,ABENGOA SA,NASDAQ,Stock,1/4/2016,5/5/2016,Delisted
ABGBY,,NASDAQ,Stock,5/2/2016,5/13/2016,Delisted
ABI,Safety First Trust Series 2009-2,NYSE ARCA,Stock,5/11/2009,5/15/2014,Delisted
ABII,Abraxis BioScience Inc,NASDAQ,Stock,11/15/2007,10/25/2010,Delisted
ABILW,ABILW,NASDAQ,Stock,1/4/2016,4/7/2016,Delisted
ABLX,Ablynx NV,NASDAQ,Stock,10/20/2017,6/22/2018,Delisted
ABR-P-A,Arbor Realty Trust Inc,NYSE,Stock,9/22/2014,6/23/2021,Delisted
ABR-P-B,Arbor Realty Trust Inc,NYSE,Stock,9/22/2014,6/23/2021,Delisted
ABR-P-C,Arbor Realty Trust Inc,NYSE,Stock,2/24/2014,6/23/2021,Delisted
ABRN,Arbor Realty Trust Inc,NYSE,Stock,5/15/2014,4/26/2018,Delisted
ABTL,Autobytel Inc,NASDAQ,Stock,3/26/1999,10/6/2017,Delisted
